t,missile_mach,missile_alt,dist_km
691.5,3.715,10202.2,27.03
692.0,3.656,10200.3,26.35
692.5,3.6,10197.9,25.68
693.0,3.545,10195.4,25.02
693.5,3.493,10199.5,24.38
694.0,3.444,10235.1,23.74
694.5,3.398,10311.0,23.11
695.0,3.354,10423.1,22.5
695.5,3.313,10563.0,21.91
696.0,3.274,10721.5,21.32
696.5,3.238,10890.8,20.75
697.0,3.201,11064.6,20.18
697.5,3.16,11238.5,19.62
698.0,3.121,11409.3,19.07
698.5,3.084,11575.3,18.53
699.0,3.049,11735.5,17.99
699.5,3.016,11889.6,17.47
700.0,2.984,12037.9,16.95
700.5,2.953,12180.8,16.45
701.0,2.924,12318.8,15.96
701.5,2.896,12452.4,15.48
702.0,2.869,12582.2,15.01
702.5,2.844,12703.9,14.56
703.0,2.82,12796.9,14.1
703.5,2.799,12853.3,13.64
704.0,2.779,12869.3,13.18
704.5,2.761,12842.8,12.71
705.0,2.746,12772.9,12.24
705.5,2.732,12660.4,11.77
706.0,2.72,12507.5,11.3
706.5,2.709,12317.1,10.83
707.0,2.699,12092.4,10.37
707.5,2.689,11836.6,9.92
708.0,2.681,11553.6,9.47
708.5,2.672,11248.0,9.04
709.0,2.66,10929.8,8.61
709.5,2.638,10607.6,8.19
710.0,2.615,10285.1,7.76
710.5,2.593,9961.0,7.34
711.0,2.57,9633.3,6.92
711.5,2.546,9301.9,6.52
712.0,2.523,8969.1,6.15
712.5,2.499,8639.7,5.82
713.0,2.475,8318.3,5.51
713.5,2.45,8003.0,5.24
714.0,2.425,7692.3,4.99
714.5,2.4,7387.7,4.76
715.0,2.375,7094.4,4.54
715.5,2.35,6818.4,4.33
716.0,2.324,6566.0,4.11
716.5,2.298,6341.4,3.88
717.0,2.272,6146.4,3.63
717.5,2.246,5980.6,3.36
718.0,2.22,5841.5,3.09
718.5,2.194,5726.0,2.81
719.0,2.168,5630.7,2.53
719.5,2.142,5552.8,2.25
720.0,2.117,5490.0,1.98
720.5,2.093,5440.3,1.73
721.0,2.068,5401.6,1.49
721.5,2.045,5372.0,1.27
722.0,2.021,5349.8,1.07
722.5,1.999,5333.1,0.88
723.0,1.976,5320.3,0.72
723.5,1.955,5309.8,0.58
724.0,1.934,5300.4,0.46
724.5,1.913,5291.2,0.36
