t,mach,alt_km,dist_km,g
680.0,3.675,10.04,23.76,0.64
680.5,3.617,10.04,23.12,0.83
681.0,3.561,10.04,22.49,0.92
681.5,3.507,10.04,21.88,0.96
682.0,3.456,10.04,21.28,15.12
682.5,3.407,10.08,20.7,18.19
683.0,3.36,10.16,20.12,15.75
683.5,3.317,10.27,19.55,11.19
684.0,3.276,10.41,19.0,6.24
684.5,3.238,10.56,18.45,1.66
685.0,3.201,10.72,17.9,-2.2
685.5,3.166,10.89,17.36,-5.03
686.0,3.132,11.05,16.82,-6.63
686.5,3.093,11.2,16.28,-7.16
687.0,3.057,11.34,15.74,-6.92
687.5,3.022,11.48,15.2,-6.16
688.0,2.989,11.61,14.68,-14.88
688.5,2.958,11.71,14.15,-14.89
689.0,2.93,11.77,13.63,-14.92
689.5,2.904,11.78,13.1,-15.08
690.0,2.881,11.74,12.57,-15.4
690.5,2.86,11.66,12.05,-15.77
691.0,2.841,11.52,11.52,-16.13
691.5,2.824,11.34,11.01,-16.44
692.0,2.807,11.12,10.5,-16.74
692.5,2.786,10.86,10.01,-16.83
693.0,2.759,10.57,9.53,-16.75
693.5,2.733,10.25,9.07,-14.97
694.0,2.706,9.91,8.64,-10.95
694.5,2.679,9.56,8.22,-6.42
695.0,2.652,9.2,7.82,-2.42
695.5,2.624,8.84,7.43,0.8
696.0,2.596,8.49,7.04,5.37
696.5,2.567,8.13,6.64,8.48
697.0,2.539,7.79,6.23,12.43
697.5,2.51,7.47,5.81,15.28
698.0,2.481,7.16,5.38,16.87
698.5,2.451,6.87,4.93,17.33
699.0,2.422,6.61,4.48,16.76
699.5,2.392,6.37,4.04,16.1
700.0,2.363,6.17,3.6,15.57
700.5,2.334,5.99,3.17,14.68
701.0,2.304,5.85,2.75,13.52
701.5,2.275,5.73,2.34,12.05
702.0,2.247,5.65,1.94,10.38
702.5,2.218,5.58,1.55,8.61
703.0,2.191,5.53,1.17,6.91
703.5,2.163,5.5,0.8,5.4
704.0,2.137,5.48,0.44,4.19
